,University,CANTON,Approved Amount,Grants approved
0,Allergie- und Asthmaforschung - SIAF,GR,19169965.0,44
1,Berner Fachhochschule - BFH,BE,31028695.0,136
2,Biotechnologie Institut Thurgau - BITG,TG,2492535.0,8
3,Centre de rech. sur l'environnement alpin - CREALP,VS,1567678.0,8
4,EPF Lausanne - EPFL,VD,1175315913.92,4406
5,ETH Zürich - ETHZ,ZH,1635596618.2500002,6143
6,Eidg. Anstalt für Wasserversorgung - EAWAG,ZH,74619222.37,333
7,"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",ZH,48360389.629999995,223
8,Eidg. Hochschulinstitut für Berufsbildung - EHB,BE,2086572.0,12
9,Eidg. Material und Prüfungsanstalt - EMPA,SG,58574515.92,238
10,Ente Ospedaliero Cantonale - EOC,TI,5067172.0,21
11,Fachhochschule Kalaidos - FHKD,ZH,1090280.0,3
12,Fachhochschule Nordwestschweiz (ohne PH) - FHNW,SO,42771914.120000005,225
13,Fachhochschule Ostschweiz - FHO,SG,4437056.0,26
14,Facoltà di Teologia di Lugano - FTL,TI,8000.0,2
15,Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,VS,12000.0,1
16,Forschungsinstitut für Opthalmologie - IRO,VS,3478469.0,14
17,Forschungsinstitut für biologischen Landbau - FIBL,AG,7442410.0,17
18,Franklin University Switzerland - FUS,TI,65956.0,6
19,Friedrich Miescher Institute - FMI,BS,40229142.61,84
20,HES de Suisse occidentale - HES-SO,JU,34162965.46,271
21,"Haute école pédagogique BE, JU, NE - HEPBEJUNE",JU,627380.0,7
22,Haute école pédagogique du canton de Vaud - HEPL,VD,1430686.0,16
23,Haute école pédagogique fribourgeoise - HEPFR,FR,1547498.0,7
24,Hochschule Luzern - HSLU,LU,10768116.36,62
25,Idiap Research Institute - IDIAP,VS,22183105.2,82
26,Inst. Suisse de Spéléologie et Karstologie - ISSKA,NE,624819.0,3
27,Inst. de Hautes Etudes Internat. et du Dév - IHEID,GE,38864231.6,198
28,Inst. universit. romand de Santé au Travail - IST,VD,6882729.85,35
29,Institut Universitaire Kurt Bösch - IUKB,VS,1977340.0,21
30,Institut für Kulturforschung Graubünden - IKG,GR,1219681.0,12
31,Instituto Ricerche Solari Locarno - IRSOL,TI,951238.0,5
32,Interkant. Hochschule für Heilpädagogik ZH - HfH,ZH,2839872.0,22
33,Istituto Svizzero di Roma - ISR,07,141000.0,6
34,Kantonsspital St. Gallen - KSPSG,SG,15034105.0,48
35,Paul Scherrer Institut - PSI,AG,115268968.87,537
36,Pädagogische Hochschule Bern - PHBern,BE,1990389.6,13
37,Pädagogische Hochschule Graubünden - PHGR,GR,614613.0,7
38,Pädagogische Hochschule Luzern - PHLU,LU,1979281.0,14
39,Pädagogische Hochschule Nordwestschweiz - PHFHNW,SO,3476142.0,20
40,Pädagogische Hochschule Schaffhausen - PHSH,SH,176691.0,1
41,Pädagogische Hochschule Schwyz - PHSZ,SZ,936551.0,5
42,Pädagogische Hochschule St. Gallen - PHSG,SG,2098387.0,13
43,Pädagogische Hochschule Thurgau - PHTG,TG,1526446.0,6
44,Pädagogische Hochschule Zug - PHZG,ZG,495715.0,7
45,Pädagogische Hochschule Zürich - PHZFH,ZH,3298346.0,23
46,SUP della Svizzera italiana - SUPSI,TI,24040082.15,135
47,Schweiz. Hochschule für Logopädie Rorschach - SHLR,SG,429600.0,2
48,Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,ZH,4649550.0,20
49,Schweizer Paraplegiker Forschung - SPF,LU,1944211.0,10
50,Swiss Center for Electronics and Microtech. - CSEM,NE,18068246.0,28
51,Università della Svizzera italiana - USI,TI,84970554.75,346
52,Universität Basel - BS,BS,1352251464.37,4737
53,Universität Bern - BE,BE,1519373034.69,5460
54,Universität Luzern - LU,LU,39981678.309999995,214
55,Universität St. Gallen - SG,SG,69194954.44999999,426
56,Universität Zürich - ZH,ZH,1826842675.0000005,6754
57,Université de Fribourg - FR,FR,457526170.2500001,2078
58,Université de Genève - GE,GE,1838237308.4999998,6379
59,Université de Lausanne - LA,VD,1183290756.68,4090
60,Université de Neuchâtel - NE,NE,383204582.29999995,1589
